xtehr,zib,name,path_zib,alias,type_zib,card._zib,stereotype,id_zib,definition_zib,definitioncode,id_xtehr,path_xtehr,short,definition_xtehr,type_xtehr,card._xtehr,binding
EHDSProcedure,Procedure,Procedure,Procedure,NL: Verrichting,,,rootconcept,NL-CM:14.1.1,Root concept of the Procedure information model. This root concept contains all data elements of the Procedure information model.,SNOMED CT: 71388002 Procedure,EHDSProcedure,EHDSProcedure,Procedure model,C.16 - EHDS refined base model for An action that is or was performed on or for a patient,,0..*,
EHDSProcedure.anatomicLocation,Procedure.ProcedureAnatomicalLocation::AnatomicalLocation,ProcedureAnatomicalLocation::AnatomicalLocation,Procedure.ProcedureAnatomicalLocation::AnatomicalLocation,NL: VerrichtingAnatomischeLocatie::AnatomischeLocatie,,0..1,"data,reference",NL-CM:14.1.13,Anatomical location which is the focus of the procedure.,SNOMED CT: 405813007 Procedure site - Direct,EHDSProcedure.anatomicLocation,EHDSProcedure.anatomicLocation,C.16.6 - Anatomic location,Anatomic location and laterality where the procedure was performed. This is the target site.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, ICD-O-3'}"
EHDSProcedure.code,Procedure.ProcedureType,ProcedureType,Procedure.ProcedureType,NL: VerrichtingType,CD,1,data,NL-CM:14.1.4,"The name of the procedure.<br />Choices are the DHD procedure thesaurus,  the procedures file (CBV), the Care activities file (NZa), the Dutch Mental Health and Addiction Care procedures list (GGZ) and the procedures list of the Dutch College of General Practitioners (NHG).",,EHDSProcedure.code,EHDSProcedure.code,C.16.3 - Code,Code identifying the procedure,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSProcedure.complication,,,,,,,,,,,EHDSProcedure.complication,EHDSProcedure.complication,C.16.9 - Complication,"Any complications that occurred during the procedure, or in the immediate post-performance period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.",CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'ICD-10*, SNOMED CT, Orphacode if rare disease is diagnosed'}"
EHDSProcedure.date[x],Procedure.ProcedureEndDate,ProcedureEndDate,Procedure.ProcedureEndDate,NL: VerrichtingEindDatum,TS,0..1,data,NL-CM:14.1.3,"The end date (and if possible end time) of the procedure. A ‘vague’ date, such as only the year, is permitted. 
The element offers the option to indicate the end of the period of a series of related procedures. The end date element is only used for a procedures that takes some time and is then always applied. If the procedure still continues, the value is left empty. For instantaneous or very short lasting procedures the element is omitted.",,EHDSProcedure.date[x],EHDSProcedure.date[x],C.16.4 - Date,Date and time of the procedure or interval of its performance,dateTime,0..1,
EHDSProcedure.date[x],Procedure.ProcedureStartDate,ProcedureStartDate,Procedure.ProcedureStartDate,NL: VerrichtingStartDatum,TS,0..1,data,NL-CM:14.1.2,"The (desired) start date (and if possible start time) of the procedure. A ‘vague’ date, such as only the year, is permitted. 
The element offers the option to indicate the start of the period of a series of related procedures.",,EHDSProcedure.date[x],EHDSProcedure.date[x],C.16.4 - Date,Date and time of the procedure or interval of its performance,dateTime,0..1,
EHDSProcedure.description,,,,,,,,,,,EHDSProcedure.description,EHDSProcedure.description,C.16.2 - Description,Procedure specification in string form,string,0..1,
EHDSProcedure.deviceUsed,,,,,,,,,,,EHDSProcedure.deviceUsed,EHDSProcedure.deviceUsed,C.16.10 - Device used,Device used to perform the procedure,EHDSDevice,0..*,
EHDSProcedure.focalDevice,Procedure.MedicalDevice,MedicalDevice,Procedure.MedicalDevice,NL: MedischHulpmiddel,,0..*,"data,reference",NL-CM:14.1.7,"The product, the placing of which in or on the body is the purpose of the procedure, for example placing an implant.",SNOMED CT: 405815000 Procedure device,EHDSProcedure.focalDevice,EHDSProcedure.focalDevice,C.16.11 - Focal device,"Device or devices that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.",Reference,0..*,
EHDSProcedure.identifier,,,,,,,,,,,EHDSProcedure.identifier,EHDSProcedure.identifier,C.16.1 - Identifier,Procedure identifier,Identifier,0..*,
EHDSProcedure.location,Procedure.Location::HealthcareProvider,Location::HealthcareProvider,Procedure.Location::HealthcareProvider,NL: Locatie::Zorgaanbieder,,0..1,"context,reference",NL-CM:14.1.5,"The healthcare center where the procedure was, is or or will be carried out.",,EHDSProcedure.location,EHDSProcedure.location,C.16.12 - Location,Location where the procedure had been performed,EHDSLocation,0..*,
EHDSProcedure.note,,,,,,,,,,,EHDSProcedure.note,EHDSProcedure.note,C.16.13 - Note,Additional information about the procedure,string,0..1,
EHDSProcedure.outcome,,,,,,,,,,,EHDSProcedure.outcome,EHDSProcedure.outcome,C.16.8 - Outcome,The outcome of the procedure - did it resolve the reasons for the procedure being performed?,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
